id,original_comment,stemmed_comment,toxicity_score,severity_level,category,is_cyberbullying
445,Toy  toy🤣🤣🤣🤣🤣🤣🤣,toy toy,0,safe,non-cyberbullying,0
446,rinz rinz,rinz rinz,0,safe,non-cyberbullying,0
447,Rrq keluar aja udh dari mpl Indonesia,rrq keluar sudah mpl indonesia,0,safe,non-cyberbullying,0
448,itu zunesh main petak umpet,zunesh main petak umpet,0,safe,non-cyberbullying,0
449,Akhirnya onic menyelamatkan komen yutub dari kebisingan,akhir onic selamat komen yutub bising,0,safe,non-cyberbullying,0
450,"Lutpi sudah di bilang no 1 exp di indo 
Improve banget yha",lutpi bilang no exp di indo improve banget,0,safe,non-cyberbullying,0
451,Dulu badut skrng menjelma  menjadi majadi lawak.. raja raja an.. 😂😂 rrq...,dulu badut skrng jelma jadi jadi lawak raja raja an rrq,0,safe,non-cyberbullying,0
452,Lutpi sih paling keren di sini🔥,lutpi sih paling keren sini,0,safe,non-cyberbullying,0
453,menyala onic🔥🔥🔥,nyala onic,0,safe,non-cyberbullying,0
454,"Kek gini kalau masih ngomong onic gak jago, asli tebel muka 😂",gin kalau kasih ngomong onic jago asli tebel muka,0,safe,non-cyberbullying,0
455,Fanny Nafsuan,fanny nafsu,0,safe,non-cyberbullying,0
456,Bisa2 nya RRQ melepaa skyler. RRQ Tnp skyler itu ibarat Raja tanpa tgn kanan,ya rrq melepaa skyler rrq tnp skyler ibarat raja tgn kanan,0,safe,non-cyberbullying,0
457,Ganti s zunesh sma jungler mdl gasi #teamrrq #rrq_ap,s zunesh sama jungler mdl gas,0,safe,non-cyberbullying,0
458,onic vs ayam,onic vs ayam,0,safe,non-cyberbullying,0
459,"19:02

ASTAGA LUTPIIIIII",astaga lutpiiiiii,0,safe,non-cyberbullying,0
460,"Yang bener ngomongnya Farsa, Kabeee, bukan Farsya. Benerinlah salah penyebutan nama ituuu.",benar ngomongnya farsa kabeee bukan farsya benerinlah salah sebut nama ituuu,0,safe,non-cyberbullying,0
461,Jungler rrq mdl naikin pak ap #teamrrq #pak_ap,jungler rrq mdl naikin pak ap,0,safe,non-cyberbullying,0
462,Ganti goldlane #teamrrq,goldlane,0,safe,non-cyberbullying,0
463,ngeri bgt refleks skylar,ngeri banget refleks skylar,0,safe,non-cyberbullying,0
464,ketika Gold Lane abal2 di bandingkan dengan Gold Lane terbaik Indonesia yah gini jadinya😂😂😂,gold lane abal banding gold lane baik indonesia gin jadi,0,safe,non-cyberbullying,0
465,Mash d mainin aja si rusman #rrqtoyy,mash d mainin si rusman,0,safe,non-cyberbullying,0
466,ya terlepas sapa jago sapa ga jago.. yg pasti RRQ secara keuangan pendapatannya terbanyak di season ini 😅,lepas sapa jago sapa jago pasti rrq uang dapat banyak season,0,safe,non-cyberbullying,0
467,"Nonton replay ❌
baca komenan ✅",nonton replay baca komenan,0,safe,non-cyberbullying,0
468,PPQ BADUT🤡🤡🤡,ppq badut,0,safe,non-cyberbullying,0
469,Rinz itu kurang perhitungannya ngga kaya sanz,rinz kurang hitung ngga kaya sanz,0,safe,non-cyberbullying,0
470,Kok tampilan RRQ vs onic beda ya dari match yg lain? Kok bisa gitu? Boleh di jelasin ngak guys?,kok tampil rrq vs onic beda dari match lain kok gitu di jelasin ngak guys,0,safe,non-cyberbullying,0
471,"Fanny nya numpang lewat doang, sekali lewat senggol dong😊",fanny numpang lewat orang sekali lewat senggol dong,0,safe,non-cyberbullying,0
472,Kelass kombo manado anjig 😮😮😮😮,kelass kombo manado anjing,4,moderate_toxic,cyberbullying,1
473,zunesh saha njir???,zunesh saha njir,0,safe,non-cyberbullying,0
474,lawan ayam kah ini ?,lawan ayam ini,0,safe,non-cyberbullying,0
475,dendam baget Skylar sampe di base dalem base ajah di kill itu si rinz,dendam banget skylar base dalem base ajah di kill si rinz,0,safe,non-cyberbullying,0
476,6:46 gg skylar,gg skylar,0,safe,non-cyberbullying,0
477,Lutpii jagoan di game ini,lutpii jangan game,0,safe,non-cyberbullying,0
478,ap tuh ap tuh ap tuh😂😂,ap tuh ap tuh ap tuh,0,safe,non-cyberbullying,0
479,Gh sepi rugi njir beli tikey,gh sepi rugi njir beli tikey,0,safe,non-cyberbullying,0
480,"Match Onic terfavorit gw sejauh ini di S16. Lutpi mukanya aja cengengesan, arlottnya sangaarrrrrr!",match onic favorit jauh di s lutpi muka cengengesan arlottnya sangaarrrrrr,0,safe,non-cyberbullying,0
481,Arlotnya lutfy menggila,arlotnya lutfy gila,0,safe,non-cyberbullying,0
482,RRQ poke😮,rrq poke,0,safe,non-cyberbullying,0
483,"toyy pergerakannya gitu aja 😂 takut kah sama skyler? 🤣
dah lah jelas onic juara nya ini mah",toyy gera gitu takut sama skyler lah jelas onic juara ini mah,0,safe,non-cyberbullying,0
484,"udah dulu ya main raja rajaan nya, malu tau di kasih paham ama raja asli nya😂😂",dulu main raja raja malu tahu kasih paham sama raja asli,0,safe,non-cyberbullying,0
485,rinz ngapain ulti ny kek gtu oeekk,rinz ngapain ulti ny gtu oeekk,0,safe,non-cyberbullying,0
486,Lutpii nyapu sampah di turet rrq 😂,lutpii nyapu di turet rrq,0,safe,non-cyberbullying,0
487,lawak,lawak,0,safe,non-cyberbullying,0
488,"Roster ONIC yang sekarang terlalu kuat untuk skala MPL Indonesia. Gameplay mereka udah ketemu bahkan tanpa Coach Yeb, prime Kairi dan Sanz sudah kembali, Lutpiiii pun juga udah improve banget. Kiboy aja yang kadang oleng tapi mereka juga punya 2 goldlane super kuat, Skylar dan Savero",roster onic sekarang terlalu kuat kalau mpl indonesia gameplay ketemu tanpa coach yeb prime kairi sanz kembali lutpiiii sudah improve banget kiboy yang kadang oleng mereka juga punya goldlane super kuat skylar savero,0,safe,non-cyberbullying,0
489,Pro player vs bot😂,pro player vs bot,0,safe,non-cyberbullying,0
490,"sudah ku bilang,pepeki lokalan aja",aku bilangpepeki lokal,0,safe,non-cyberbullying,0
491,Skaylar nih bosss mna toyyy wkwkw lawak toyy toyy,skaylar nih bosss mna toyyy wkwkw lawak toyy toyy,0,safe,non-cyberbullying,0
492,Lawak perbedaan nya kek langit dan bumi🤭,lawak beda seperti langit bumi,0,safe,non-cyberbullying,0
493,"13:06

AWOWKOWKWOKWOWKOK",awowkowkwokwowkok,0,safe,non-cyberbullying,0
494,"wkwkkwkwkw faktanya ppq badut goblok kalau kalah bawa bawa divisi, EVOS aja kalah ga ada bawa bawa divisi, secara prestasi, jumlah juara dunia, jumlah piala, pendapatan, semua hal EVOS sangat jauh diatas RRQ🤡🤡🤡🤡 sangat sampah, sangat miskin, sangat hina dari dulu sampai sekarang, RRQ🤡🤡🤡🤡sangat sampah, sangat miskin, sangat hina  masih sangat jauh dipantat EVOS segala hal. EWC lu warna apa dek ppq bot, sipaling all divisi, tapi gak ada satupun divisi juara dunia ajang ewc, EVOS>>>>>>>> RRQ🤡🤡🤡🤡🤡sangat sampah, sangat miskin, sangat hina🤣🤣🤣🤣🤣🤣",wkwkkwkwkw fakta ppq badut goblok kalau kalau bawa bawa divisi evos kalau bawa bawa divisi prestasi jumlah juara dunia jumlah piala dapat semua evos sangat jauh atas rrq sangat sangat miskin sangat hina dulu sekarang rrqsangat sangat miskin sangat hina kasih sangat jauh pantat evos segala ewc kamu warna apa dek ppq bot sipaling all divisi tidak ada satu divisi juara dunia ajang ewc evos rrqsangat sangat miskin sangat hina,17,extreme_cyberbullying,cyberbullying,1
495,19:03 camera di Lutfi gilaa 🤗,camera lutfi gilaa,0,safe,non-cyberbullying,0
496,nt,,0,safe,non-cyberbullying,0
497,"Untuk rinz jangan cuma omong doang bilang onic gk jago, tapi pada akhirnya tetap kebantai sama onic, gak usah munafik dan sombong rinz kalau musuh jago akui saja jangan gengsi, yang ada kalau lu seperti itu onic gak akan segan buat bantai"" rrq",rinz jangan cuma omong orang bilang onic jago pada akhir tetap bantai sama onic usah munafik sombong rinz kalau musuh jago aku jangan gengsi ada kalau kamu itu onic akan segan buat bantai rrq,0,safe,non-cyberbullying,0
498,gg,gg,0,safe,non-cyberbullying,0
499,Kenapa ngak main di tempat kayak biasanya,ngak main tempat biasa,0,safe,non-cyberbullying,0
500,Kenapa aku seneng ya kwkw,aku neng kwkw,0,safe,non-cyberbullying,0
501,"Juara kandang vs juara msc,,yaaa beda😢",juara kandang vs juara mscyaaa beda,0,safe,non-cyberbullying,0
502,"Skylar memang cocok di onic karena pemain onic semuanya jago, kalau Skylar di rrq lawan onic tetap akan kebantai sma onic, karena Skylar di rrq gak ada patner yang bisa imbangin skill dan permainan Skylar kalau di onic semua pemainnya sudah paham semua dan bisa ngontrol emosi",skylar memang cocok onic main onic semua jago kalau skylar rrq lawan onic tetap bantai sama onic skylar rrq ada patner bisa imbangin skill main skylar kalau onic semua main paham semua bisa ngontrol emosi,0,safe,non-cyberbullying,0
503,"Tuh kan tuh kan, bener kata gw, nmyg nge draft itu cw, si Adi mh diem aja so sibukk
Btw Skylar GG bt anj di gocek",tuh tuh benar kata nmyg nge draft cw si jadi mh diem so sibukk btw skylar gg bt anj gocek,0,safe,non-cyberbullying,0
504,DARIPADA BANYAK GAME DRAMATIS MENDING KASIH AJA PIALA KE ONIC,banyak game dramatis mending kasih piala onic,0,safe,non-cyberbullying,0
505,Gada obat lutpiiiiii,gada obat lutpiiiiii,0,safe,non-cyberbullying,0
506,GEMBEL PPQ,gembel ppq,0,safe,non-cyberbullying,0
507,Kembalikan skyler kami 😂,kembali skyler,0,safe,non-cyberbullying,0
508,Tengil bgt ngeliat gaya nya si sanz kunyuk😂,tengil banget ngeliat gaya si sanz kunyuk,0,safe,non-cyberbullying,0
509,FANS KINGDOM MENANGIS DI RECOLL RECOL+DI KIL DI BASE😂,fans kingdom menang recoll recoldi kil base,0,safe,non-cyberbullying,0
510,Mana suaranya kondo* kok diam aj,mana suara kondo kok diam,0,safe,non-cyberbullying,0
511,"Sepi,gak ada teriakan penonton",sepigak ria tonton,0,safe,non-cyberbullying,0
512,jadi ke inget ucap tim yang ga jago tapi di ayam2in mati di kandang 🗿,jadi inget ucap tim tidak jago ayamin mati di kandang,5,moderate_toxic,cyberbullying,1
513,rrq jungler lawak,rrq jungler lawak,0,safe,non-cyberbullying,0
514,rrq di ayam ayamin gini wkwkwk,rrq ayam ayamin gin wkwkwk,0,safe,non-cyberbullying,0
515,Kasih paham lerr 😂😂,kasih paham lerr,0,safe,non-cyberbullying,0
516,Apa gw bilang onic 2 rrq 0,apa bilang onic rrq,0,safe,non-cyberbullying,0
517,Fanny hanyalah dongeng,fanny hanya dongeng,0,safe,non-cyberbullying,0
518,RRQ ngelepas skylard lawak bgt jomplang gaada yg gendong ups,rrq ngelepas skylard lawak banget jomplang gaada gendong ups,0,safe,non-cyberbullying,0
519,"Puas bngt tdi evos win walaupun king branz gk main sudahku bilang sandal itu udh mantap malah ngambil midlener gagal dri mpl sebelah, dan yg terpenting puas bngt onic bantai adek²an😂",puas banget tdi evos win walaupun king branz main bilang sandal sudah mantap malah ngambil midlener gagal mpl belah yang penting puas banget onic bantai,0,safe,non-cyberbullying,0
520,Udah terbukti ya adik² kongdom ler>totoy,bukti adik kongdom lertotoy,0,safe,non-cyberbullying,0
521,ke 43,,0,safe,non-cyberbullying,0
522,langsung aja kasih pialanya ke onic,langsung kasih piala onic,0,safe,non-cyberbullying,0
523,Absen tercepat,absen cepat,0,safe,non-cyberbullying,0
524,gg onis,gg onis,0,safe,non-cyberbullying,0
525,Onic di hatii,onic hati,0,safe,non-cyberbullying,0
526,"Gw salah 1 orang yg meragukan skylar, tapi dari match lawan GEEK apa lg skrng lawan RRQ keliatan improvementnya skylar. Salut buat skylar bisa membungkam orang² yg meragukannya termasuk gw 👍",salah orang ragu skylar dari match lawan geek apa skrng lawan rrq liat improvementnya skylar salut buat skylar bungkam orang ragu masuk,0,safe,non-cyberbullying,0
527,Raja dari segala raja  & bot dari segala bot,raja segala raja bot segala bot,0,safe,non-cyberbullying,0
528,Apalah kingdom bot,apa kingdom bot,0,safe,non-cyberbullying,0
529,Bukan karena musuhnya yg jago,bukan musuh jago,0,safe,non-cyberbullying,0
530,2-0😜👆🏻,,0,safe,non-cyberbullying,0
531,😜👆🏾,,0,safe,non-cyberbullying,0
532,Bau Bau comeback 😹😹😹,bau bau comeback,0,safe,non-cyberbullying,0
533,Skylar tau raja yang sebenar nya 😂😂😂,skylar tahu raja benar,0,safe,non-cyberbullying,0
534,"Rrq badut mpl
#lokal",rrq badut mpl,0,safe,non-cyberbullying,0
535,Ketika raja raja'n ketemu raja sesungguhnya😂langsung tunduk g tuh,raja rajan ketemu raja sesungguhnyalangsung tunduk g tuh,0,safe,non-cyberbullying,0
536,Kiw,kiw,0,safe,non-cyberbullying,0
537,"SI PALING JAGO KOK GAK MAIN SIH, JADI KALAH KAN RRQ 😢😢😢",si paling jago kok main sih jadi kalau rrq,0,safe,non-cyberbullying,0
538,"UDAH GW BILANG LANGSUNG AJA KASIH PIALA SEASON INI KE ONIC ! MINGGIR SEMUA 🚨🚨🚨
JUJUR UDH GA SERU NONTON MPL ID,ONIC TERLALU KUAT !",saya bilang langsung kasih piala season ke onic minggir semua jujur tidak seru nonton mpl idonic terlalu kuat,0,safe,non-cyberbullying,0
539,KATA KATA HARI? RRQ CEMILAN ONIC,kata kata hari rrq cemilan onic,0,safe,non-cyberbullying,0
540,gas,gas,0,safe,non-cyberbullying,0
541,Pertama,pertama,0,safe,non-cyberbullying,0
542,Fans PPQ nangis dipojokan😂,fans ppq nang pojok,0,safe,non-cyberbullying,0
543,SEBELUM RIBUAN,ribu,0,safe,non-cyberbullying,0
544,"Apakah Onic akan pecah telur...
Keknya Bakal 2:0 mngkin",onic pecah telur kek bakal mngkin,0,safe,non-cyberbullying,0
545,IN GAME 5 : 10,in game,0,safe,non-cyberbullying,0
546,Kami kingdom pamit 😊😹,kingdom pamit,0,safe,non-cyberbullying,0
547,GG ONIC,gg onic,0,safe,non-cyberbullying,0
548,HAYO GASKENN MPLL,hayo gaskenn mpll,0,safe,non-cyberbullying,0
549,5:00 in game,in game,0,safe,non-cyberbullying,0
550,uhuyyy,uhuyyy,0,safe,non-cyberbullying,0
551,Wedepe minjnnn,wedepe minjnnn,0,safe,non-cyberbullying,0
552,pertma🎉,pertma,0,safe,non-cyberbullying,0
553,RRQ kalah voting? 🤭,rrq kalau voting,0,safe,non-cyberbullying,0
554,Buset dah RRQ ngamok 😍,buset rrq ngamok,0,safe,non-cyberbullying,0
555,menyala onicccc,nyala onicccc,0,safe,non-cyberbullying,0
556,Pertama,pertama,0,safe,non-cyberbullying,0
557,pertama nihh💋,pertama nihh,0,safe,non-cyberbullying,0
558,First,first,0,safe,non-cyberbullying,0
